reach,status,status_text,set_date,set_by
,,Green,2023-04-28T14:51:00Z,
,,Dark Blue,2023-05-09T13:01:00Z,
,,Light Blue,2023-05-12T12:24:00Z,
,,Green,2023-05-13T15:00:00Z,
,,Grey,2023-06-27T14:16:00Z,
,,Green,2023-10-04T19:03:00Z,
,,Light Blue,2023-10-15T19:33:00Z,
,,Green,2023-10-17T13:19:00Z,
,,Dark Blue,2023-10-20T10:46:00Z,
,,Amber,2023-10-20T14:27:00Z,
,,Red,2023-10-23T12:01:00Z,
,,Amber,2023-10-26T11:04:00Z,
,,Dark Blue,2023-10-27T08:15:00Z,
,,Light Blue,2023-10-28T11:51:00Z,
,,Dark Blue,2023-10-30T16:46:00Z,
,,Red,2023-11-02T11:06:00Z,
,,Amber,2023-11-25T12:16:00Z,
,,Dark Blue,2023-11-26T15:28:00Z,
,,Light Blue,2023-11-27T17:35:00Z,
,,Amber,2023-12-05T09:10:00Z,
,,Red,2023-12-05T16:33:00Z,
,,Amber,2023-12-24T14:48:00Z,
,,Red,2023-12-28T13:58:00Z,
,,Black,2024-01-03T11:46:00Z,
,,Red,2024-01-14T13:37:00Z,
,,Amber,2024-01-26T20:28:00Z,
,,Dark Blue,2024-01-29T16:35:00Z,
,,Light Blue,2024-01-31T13:59:00Z,
,,Dark Blue,2024-02-07T06:39:00Z,
,,Amber,2024-02-07T08:25:00Z,
,,Red,2024-02-07T11:57:00Z,
isis,D,Black,2024-02-12T13:38:02.085Z,Sophia Ungermann
isis,R,Red,2024-02-16T09:39:44.670Z,Sophia Ungermann
isis,D,Black,2024-02-21T09:45:29.450Z,Samuel McLoughlin
isis,R,Red,2024-02-28T17:07:21.489Z,Sophia Ungermann
isis,A,Amber,2024-03-10T13:02:37.526Z,Sophia Ungermann
isis,R,Red,2024-03-11T15:28:23.479Z,Sophia Ungermann
isis,X,Grey,2024-03-16T20:56:29.125Z,Sophia Ungermann
isis,H,Dark Blue,2024-04-14T11:08:13.797Z,Sophia Ungermann
isis,L,Light Blue,2024-04-25T14:04:08.588Z,Samuel McLoughlin
,,Green,2024-04-26T15:03:00Z,
isis,H,Dark Blue,2024-04-28T12:43:03.038Z,Tyson Rallens
isis,A,Amber,2024-04-29T14:58:33.102Z,James Hopkinson
isis,H,Dark Blue,2024-04-30T12:33:15.246Z,Sophia Ungermann
isis,L,Light Blue,2024-05-01T18:39:33.730Z,Charlotte Holly Rumney
isis,H,Dark Blue,2024-05-04T09:45:55.882Z,Charlotte Holly Rumney
isis,G,Green,2024-05-06T08:19:57.452Z,Charlotte Holly Rumney
,,Grey,2024-06-23T19:13:00Z,
,,Red,2024-10-06T09:50:00Z,
,,Amber,2024-10-27T12:49:00Z,
,,Dark Blue,2024-10-30T13:37:00Z,
,,Green,2024-11-05T14:10:00Z,
,,Light Blue,2024-11-20T08:30:00Z,
,,Dark Blue,2024-11-22T17:08:00Z,
,,Amber,2024-11-24T10:59:00Z,
,,Red,2024-11-24T16:14:00Z,
,,Black,2024-11-26T08:27:00Z,
,,Red,2024-12-04T20:41:00Z,
,,Grey,2024-12-17T12:07:00Z,
,,Red,2025-01-10T14:32:00Z,
isis,A,Amber,2025-01-12T14:45:30.086Z,Qianyi Sun
isis,H,Dark Blue,2025-01-13T19:55:49.197Z,Oscar Hayden
isis,L,Light Blue,2025-01-19T13:17:51.427Z,Jack Davies
isis,A,Amber,2025-01-25T08:18:29.261Z,Jack Davies
isis,R,Red,2025-01-27T11:10:48.812Z,Oscar Hayden
isis,A,Amber,2025-02-04T13:42:00Z,
isis,H,Dark Blue,2025-02-05T14:05:24.935Z,Oscar Hayden
isis,L,Light Blue,2025-02-06T20:53:56.901Z,Jack Davies
isis,H,Dark Blue,2025-02-10T12:56:01.809Z,Oscar Hayden
isis,R,Red,2025-02-10T15:25:24.425Z,Jack Davies
isis,H,Dark Blue,2025-02-13T11:26:09.943Z,Oscar Hayden
